Area,Category,Item,Description,Date,Orders,Type of Order
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-12-24,75,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-12-13,106,Dining
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-05-27,38,Dining
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-09-29,74,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-06-14,134,Takeaway
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-03-25,3,Dining
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-08-28,140,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-02-10,108,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-03-26,35,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-07-11,17,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-02-13,156,Dining
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-12-30,93,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-11-03,41,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-10-18,54,Dining
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-10-10,2,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2021-11-12,63,Takeaway
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-07-29,27,Dining
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-05-27,103,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-12-20,157,Online
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-06-07,144,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-05-05,194,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-07-29,125,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-09-07,8,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-08-28,147,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-04-11,15,Online
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-12-29,70,Takeaway
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-09-14,21,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-07-12,65,Online
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-01-14,140,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-01-14,49,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-05-02,160,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-03-25,89,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-04-25,155,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-12-13,167,Takeaway
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-10-28,142,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-03-30,172,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-07-19,19,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-07-12,125,Takeaway
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-09-24,117,Dining
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-05-09,76,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-07-05,135,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-10-31,11,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-02-19,162,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-09-03,65,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-04-24,84,Online
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-02-04,136,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-06-04,174,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-08-22,132,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-01-18,107,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-04-30,60,Online
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-01-03,21,Dining
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-03-03,9,Online
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-11-17,20,Dining
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-03-13,139,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-02-19,146,Takeaway
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-11-30,157,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-03-22,76,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-04-04,6,Online
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2021-11-02,125,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-04-28,58,Online
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-01-05,175,Dining
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-09-19,130,Takeaway
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-02-05,145,Dining
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-01-13,102,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-08-15,179,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-10-14,182,Takeaway
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-04-12,164,Takeaway
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-05-11,119,Online
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-01-02,117,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-08-26,123,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-03-07,37,Takeaway
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-07-20,39,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-05-31,101,Dining
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-03-08,102,Dining
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-08-15,92,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-02-09,83,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-03-06,30,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-05-11,159,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-01-27,70,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-02-20,67,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-03-06,170,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-04-12,26,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-09-09,68,Dining
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-07-11,49,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-08-18,4,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-06-08,163,Takeaway
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-02-02,186,Online
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-04-02,67,Online
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-11-27,123,Takeaway
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-07-04,143,Dining
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-10-23,18,Dining
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-04-04,119,Takeaway
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-11-09,49,Dining
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-05-28,6,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-12-18,68,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-01-24,126,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-11-22,191,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-08-30,17,Takeaway
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-09-15,185,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-01-31,199,Takeaway
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-10-27,50,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-07-13,110,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-09-23,75,Dining
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-01-31,164,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-10-12,185,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-08-17,177,Dining
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2021-11-20,122,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-04-03,175,Takeaway
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-03-30,35,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-10-19,29,Online
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-02-08,100,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-02-28,5,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-08-28,141,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-05-24,185,Takeaway
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2021-12-25,27,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-07-07,105,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2021-12-02,6,Dining
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-07-26,195,Dining
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-04-05,116,Dining
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-09-23,16,Online
Arcadia Bay,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-01-24,183,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-07-16,130,Dining
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-10-19,53,Online
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-06-25,80,Dining
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-05-17,78,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-07-24,118,Dining
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-08-14,140,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-09-11,46,Takeaway
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2021-12-05,6,Takeaway
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-12-15,41,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-05-01,170,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-03-08,88,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2021-12-15,171,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-07-28,131,Dining
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2021-12-07,185,Takeaway
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-04-12,189,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-09-21,34,Takeaway
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2021-11-05,57,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-04-08,4,Takeaway
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-02-18,8,Dining
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-09-30,136,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-07-20,32,Dining
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-05-22,95,Online
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-09-02,2,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-10-31,170,Takeaway
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-02-21,89,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-07-07,83,Dining
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-04-03,42,Takeaway
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-07-28,170,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-10-05,178,Dining
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-04-08,55,Takeaway
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-11-06,81,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-01-27,192,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-08-24,58,Online
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-12-06,83,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-06-03,106,Dining
